date,time,windows_uptime,cpu_usage,memory_usage,disk_usage,disk_free,network_download_mb,network_upload_mb,download_speed,upload_speed
"2026-08-26","22:19:25","04:36:47","49","71.51","90.68","22.68","2651.02","151.63","5","5"
"2026-08-26","22:19:39","04:37:01","26","71.7","90.68","22.68","48.01","48.06","47.01","47.01"
"2026-08-26","22:23:35","04:40:57","33","72.47","90.71","22.61","76.63","76.68","0","0"
"2026-08-26","23:07:30","04:24:52","45","75","90.71","22.6","0","0","0","0"
"2026-08-26","23:09:31","04:26:53","24","74.86","90.71","22.6","22.32","1.14","2.13","0.06"
"2026-08-26","23:19:41","05:37:03","15","73.8","90.74","22.55","110.78","5.03","2.67","0.11"
"2026-08-26","23:28:16","05:45:38","28","73.19","90.8","22.39","170.67","5.51","3.11","0.06"
"2026-08-26","23:31:22","05:48:44","32","73.19","90.82","22.33","61.39","1.9","2.78","0.05"
"2026-08-26","23:40:13","05:57:35","49","69.59","90.9","22.16","187.37","4.42","2.78","0.05"
"2026-08-26","23:40:20","05:57:42","23","69.98","90.9","22.15","2.18","0.05","2.88","0.07"
"2026-08-27","10:42:44","00:00:49","54","51.22","90.74","22.54","0","0","22.82","0.13"
"2026-08-27","14:56:09","00:01:37","62","46.94","90.61","22.84","0","0","0","0"
"2026-08-27","16:14:51","00:00:59","45","41.06","90.65","22.76","0","0","0","0"
